event,date,project_id
opened,2017-05-08,495
closed,2017-08-08,495
opened,2017-05-08,380
closed,2017-05-08,380
opened,2017-05-08,547
closed,2017-06-06,547
opened,2017-05-08,380
closed,2017-05-10,380
opened,2017-05-08,408
closed,2017-05-10,408
opened,2017-05-10,380
closed,2017-05-15,380
opened,2017-05-11,408
closed,2017-05-12,408
opened,2017-05-11,375
closed,2017-08-08,375
opened,2017-05-11,380
closed,2017-05-11,380
opened,2017-05-12,408
closed,2017-07-28,408
opened,2017-05-15,375
closed,2017-10-31,375
opened,2017-05-15,375
closed,2017-08-08,375
opened,2017-05-16,375
closed,2017-08-08,375
opened,2017-05-17,408
closed,2017-08-10,408
opened,2017-05-17,380
closed,2017-06-22,380
opened,2017-05-19,368
closed,2017-11-06,368
opened,2017-05-19,370
closed,2017-11-10,370
opened,2017-05-19,408
opened,2017-05-22,375
closed,2017-05-22,375
opened,2017-05-22,362
closed,2017-06-27,362
opened,2017-05-24,375
opened,2017-05-24,375
closed,2017-05-25,375
opened,2017-05-25,380
closed,2017-09-26,380
opened,2017-05-25,380
closed,2017-07-06,380
opened,2017-05-25,380
opened,2017-05-25,380
closed,2017-08-08,380
opened,2017-05-26,359
opened,2017-05-26,401
closed,2017-06-01,401
opened,2017-05-29,380
closed,2017-09-26,380
opened,2017-06-01,380
closed,2017-06-23,380
opened,2017-06-01,401
opened,2017-06-01,375
closed,2017-06-01,375
opened,2017-06-02,375
closed,2017-06-12,375
opened,2017-06-02,380
closed,2017-06-09,380
opened,2017-06-05,375
closed,2017-08-08,375
opened,2017-06-06,375
closed,2017-06-07,375
opened,2017-06-07,380
closed,2017-08-09,380
opened,2017-06-07,375
closed,2017-07-04,375
opened,2017-06-08,375
closed,2017-07-03,375
opened,2017-06-09,543
closed,2017-08-08,543
opened,2017-06-12,375
closed,2017-07-04,375
opened,2017-06-12,375
closed,2017-07-13,375
opened,2017-06-12,375
opened,2017-06-12,408
closed,2017-07-28,408
opened,2017-06-12,375
closed,2017-09-05,375
opened,2017-06-12,375
closed,2017-08-08,375
opened,2017-06-12,375
closed,2017-08-08,375
opened,2017-06-12,408
closed,2017-08-08,408
opened,2017-06-12,408
closed,2017-08-08,408
opened,2017-06-12,408
closed,2017-06-23,408
opened,2017-06-13,375
closed,2017-08-07,375
opened,2017-06-13,408
closed,2017-06-30,408
opened,2017-06-13,496
closed,2017-08-08,496
opened,2017-06-13,375
opened,2017-06-15,408
closed,2017-06-15,408
opened,2017-06-19,380
opened,2017-06-21,375
closed,2017-12-19,375
opened,2017-06-21,380
closed,2017-06-23,380
opened,2017-06-22,408
closed,2017-06-27,408
opened,2017-06-22,567
opened,2017-06-22,380
closed,2017-10-06,380
opened,2017-06-22,401
closed,2017-09-21,401
opened,2017-06-26,375
closed,2017-08-09,375
opened,2017-06-26,375
closed,2017-11-07,375
opened,2017-06-27,375
closed,2017-10-03,375
opened,2017-06-27,375
closed,2017-10-03,375
opened,2017-06-28,363
closed,2017-08-09,363
opened,2017-06-29,408
closed,2017-11-17,408
opened,2017-06-29,567
closed,2017-11-20,567
opened,2017-06-29,368
closed,2017-08-14,368
opened,2017-07-03,380
closed,2017-07-18,380
opened,2017-07-03,380
closed,2017-07-18,380
opened,2017-07-04,408
closed,2017-09-25,408
opened,2017-07-05,380
opened,2017-07-06,380
closed,2017-07-11,380
opened,2017-07-10,375
opened,2017-07-11,375
closed,2017-07-14,375
opened,2017-07-11,380
closed,2017-08-08,380
opened,2017-07-11,364
closed,2017-08-22,364
opened,2017-07-12,362
opened,2017-07-12,363
opened,2017-07-12,375
closed,2017-07-14,375
opened,2017-07-13,408
closed,2017-08-08,408
opened,2017-07-13,387
closed,2017-07-17,387
opened,2017-07-13,375
closed,2017-07-17,375
opened,2017-07-13,380
closed,2018-01-04,380
opened,2017-07-14,567
opened,2017-07-17,375
closed,2017-08-08,375
opened,2017-07-18,375
closed,2017-10-05,375
opened,2017-07-19,380
closed,2018-01-04,380
opened,2017-07-19,375
opened,2017-07-20,408
closed,2017-08-14,408
opened,2017-07-20,380
closed,2017-09-26,380
opened,2017-07-21,375
closed,2017-07-24,375
opened,2017-07-24,375
closed,2017-08-02,375
opened,2017-07-24,408
opened,2017-07-24,375
closed,2017-11-14,375
opened,2017-07-25,375
closed,2017-11-10,375
opened,2017-07-25,408
opened,2017-07-25,375
opened,2017-07-26,544
closed,2017-08-07,544
opened,2017-07-26,387
closed,2017-08-07,387
opened,2017-07-26,375
closed,2017-09-22,375
opened,2017-07-27,375
closed,2017-11-20,375
opened,2017-07-27,375
closed,2017-08-07,375
opened,2017-07-28,375
closed,2017-08-04,375
opened,2017-07-31,375
closed,2017-08-09,375
opened,2017-07-31,375
opened,2017-07-31,375
closed,2017-11-07,375
opened,2017-08-01,375
closed,2017-08-09,375
opened,2017-08-03,544
closed,2017-08-25,544
opened,2017-08-03,508
closed,2017-08-25,508
opened,2017-08-03,363
closed,2017-08-24,363
opened,2017-08-07,536
closed,2017-08-07,536
opened,2017-08-07,495
closed,2017-12-06,495
opened,2017-08-08,387
closed,2017-10-16,387
opened,2017-08-08,408
closed,2017-10-16,408
opened,2017-08-08,567
closed,2017-08-15,567
opened,2017-08-09,375
closed,2017-08-14,375
opened,2017-08-10,547
opened,2017-08-10,544
closed,2017-08-23,544
opened,2017-08-10,387
closed,2017-08-15,387
opened,2017-08-10,564
opened,2017-08-11,401
closed,2017-09-21,401
opened,2017-08-11,408
closed,2017-09-21,408
opened,2017-08-14,375
closed,2017-09-18,375
opened,2017-08-14,363
closed,2017-09-19,363
opened,2017-08-14,380
closed,2017-08-25,380
opened,2017-08-15,375
opened,2017-08-15,375
closed,2017-11-07,375
opened,2017-08-16,362
closed,2017-11-07,362
opened,2017-08-16,375
closed,2017-08-18,375
opened,2017-08-16,375
closed,2017-11-07,375
opened,2017-08-25,375
closed,2017-11-08,375
opened,2017-08-25,366
closed,2017-09-29,366
opened,2017-08-25,402
closed,2017-09-27,402
opened,2017-08-25,363
closed,2017-09-29,363
opened,2017-08-25,380
closed,2018-01-04,380
opened,2017-08-25,562
closed,2017-09-04,562
opened,2017-08-28,375
opened,2017-08-28,375
opened,2017-08-28,408
closed,2017-11-20,408
opened,2017-08-28,562
closed,2017-11-07,562
opened,2017-08-29,408
opened,2017-08-30,375
closed,2017-09-08,375
opened,2017-08-30,562
closed,2017-09-07,562
opened,2017-08-31,375
opened,2017-09-01,375
closed,2017-09-08,375
opened,2017-09-01,387
opened,2017-09-01,408
closed,2017-11-30,408
opened,2017-09-01,408
closed,2017-09-25,408
opened,2017-09-01,408
opened,2017-09-01,408
closed,2017-09-11,408
opened,2017-09-04,408
closed,2017-09-11,408
opened,2017-09-04,408
closed,2017-09-11,408
opened,2017-09-05,408
closed,2017-09-11,408
opened,2017-09-06,375
closed,2017-11-08,375
opened,2017-09-06,375
closed,2017-11-30,375
opened,2017-09-06,408
closed,2017-09-22,408
opened,2017-09-06,375
closed,2017-09-22,375
opened,2017-09-07,375
closed,2017-11-20,375
opened,2017-09-08,408
opened,2017-09-11,375
closed,2017-09-25,375
opened,2017-09-12,408
closed,2017-11-20,408
opened,2017-09-12,547
closed,2017-10-30,547
opened,2017-09-19,564
opened,2017-09-19,364
closed,2017-09-19,364
opened,2017-09-19,375
closed,2017-09-19,375
opened,2017-09-20,375
closed,2017-10-18,375
opened,2017-09-20,650
closed,2017-09-20,650
opened,2017-09-20,375
closed,2017-10-24,375
opened,2017-09-22,375
closed,2017-10-24,375
opened,2017-09-22,375
closed,2017-09-29,375
opened,2017-09-25,375
closed,2017-11-08,375
opened,2017-09-25,375
closed,2017-11-20,375
opened,2017-09-25,375
closed,2017-11-08,375
opened,2017-09-25,375
closed,2017-11-02,375
opened,2017-09-26,375
closed,2017-09-29,375
opened,2017-09-26,375
closed,2017-10-11,375
opened,2017-09-26,375
opened,2017-09-27,408
closed,2017-11-20,408
opened,2017-09-28,408
closed,2017-11-17,408
opened,2017-09-28,375
closed,2017-10-05,375
opened,2017-09-29,375
closed,2017-11-08,375
opened,2017-09-29,375
closed,2017-10-03,375
opened,2017-09-29,375
opened,2017-09-29,384
closed,2017-10-12,384
opened,2017-10-04,408
closed,2017-11-27,408
opened,2017-10-04,408
closed,2017-11-27,408
opened,2017-10-04,408
closed,2017-11-27,408
opened,2017-10-04,408
closed,2017-11-27,408
opened,2017-10-04,408
closed,2017-11-27,408
opened,2017-10-05,368
opened,2017-10-06,567
closed,2017-12-19,567
opened,2017-10-06,375
opened,2017-10-11,375
closed,2017-10-11,375
opened,2017-10-20,375
opened,2017-10-20,375
opened,2017-10-24,375
opened,2017-10-24,375
closed,2017-11-21,375
opened,2017-10-24,375
closed,2017-10-25,375
opened,2017-10-25,375
closed,2017-11-20,375
opened,2017-10-25,375
closed,2017-11-20,375
opened,2017-10-26,375
opened,2017-10-27,375
closed,2017-11-17,375
opened,2017-11-02,375
opened,2017-11-02,375
opened,2017-11-02,375
opened,2017-11-03,375
opened,2017-11-06,368
opened,2017-11-06,367
opened,2017-11-06,375
closed,2017-11-15,375
opened,2017-11-06,375
opened,2017-11-06,408
closed,2017-11-29,408
opened,2017-11-06,387
closed,2017-11-30,387
opened,2017-11-06,387
closed,2017-11-22,387
opened,2017-11-07,375
closed,2017-11-14,375
opened,2017-11-07,364
opened,2017-11-07,496
closed,2017-12-06,496
opened,2017-11-07,510
opened,2017-11-08,375
closed,2017-11-08,375
opened,2017-11-13,564
closed,2017-11-27,564
opened,2017-11-14,375
opened,2017-11-15,387
closed,2017-12-19,387
opened,2017-11-17,375
closed,2017-11-20,375
opened,2017-11-17,375
opened,2017-11-20,375
opened,2017-11-24,375
closed,2017-12-01,375
opened,2017-11-28,375
closed,2017-12-20,375
opened,2017-11-29,375
opened,2017-11-29,375
opened,2017-11-29,375
closed,2017-12-01,375
opened,2017-11-30,375
opened,2017-12-01,375
opened,2017-12-06,375
opened,2017-12-08,375
opened,2017-12-12,375
opened,2017-12-14,408
opened,2017-12-15,387
opened,2017-12-15,375
closed,2017-12-20,375
opened,2017-12-15,387
closed,2017-12-15,387
opened,2017-12-15,387
closed,2017-12-20,387
opened,2017-12-15,408
closed,2017-12-20,408
opened,2017-12-15,375
closed,2017-12-20,375
opened,2017-12-15,375
closed,2017-12-20,375
opened,2017-12-15,375
closed,2017-12-18,375
opened,2017-12-18,375
opened,2017-12-18,650
opened,2017-12-18,635
opened,2018-01-02,375
opened,2018-01-03,375
opened,2018-01-03,375
